id,Year,Team,Player,ast,stl,blk,TRB,p3%,p3A,2p%,2pA,PTS,MP,WS,Height,Weight,Position,Number,Draft_Year,picture_url,career_ast,career_stl,career_blk,career_TRB,career_3p%,career_3pA,career_2p%,career_2pA,career_PTS,career_MP,fgoal
1,2015,Golden State Warriors,Stephen Curry,7.7,2,0.2,4.3,0.443,8.1,0.528,8.7,23.8,32.7,15.7,3-Jun,185,PG,30,2009,curryst01.png,6.9,1.8,0.2,4.3,0.444,7.3,0.503,9.3,22.4,34.9,47.71%
2,2015,Golden State Warriors,Klay Thompson,2.9,1.1,0.8,3.2,0.439,7.1,0.481,9.8,21.7,31.9,8.8,7-Jun,205,SG,11,2011,thompkl01.png,2.3,0.9,0.5,3.3,0.42,6.5,0.472,8.7,18.4,32.5,44.98%
3,2015,Golden State Warriors,Draymond Green,3.7,1.6,1.3,8.2,0.337,4.2,0.523,5.5,11.7,31.5,8.5,7-Jun,230,PF,23,2012,greendr01.png,3.4,1.2,1,6.5,0.342,2.6,0.494,4.6,8.7,25.4,43.91%
4,2015,Golden State Warriors,Harrison Barnes,1.4,0.7,0.2,5.5,0.405,2.6,0.519,5.4,10.1,28.3,6.7,8-Jun,210,SF,40,2012,barneha02.png,1.5,0.7,0.2,4.6,0.376,2.5,0.475,6,10.1,28.1,44.59%
5,2015,Golden State Warriors,Andre Iguodala,3,1.2,0.3,3.3,0.349,2.8,0.553,3.7,7.8,26.9,5.1,6-Jun,207,SG,9,2004,iguodan01.png,4.6,1.6,0.5,5.4,0.334,2.8,0.509,7.6,13.5,35.4,46.19%
6,2014,San Antonio Spurs,Tony Parker,5.7,0.5,0.1,2.3,0.373,1,0.509,12.5,16.7,29.4,5.9,2-Jun,185,PG,9,2001,parketo01.jpg,5.9,0.9,0.1,2.9,0.327,1.3,0.513,12,16.6,32.1,49.48%
7,2014,San Antonio Spurs,Tim Duncan,3,0.6,1.9,9.7,0,0.1,0.493,12.2,15.1,29.2,7.4,11-Jun,250,C,21,1997,duncati01.jpg,3,0.7,2.2,10.8,0.179,0.1,0.509,14.5,19,34,50.67%
8,2014,San Antonio Spurs,Kawhi Leonard,2,1.7,0.8,6.2,0.379,2.8,0.579,7,12.8,29.1,7.7,7-Jun,230,SF,2,2011,leonaka01.png,2,1.8,0.7,6.3,0.391,2.9,0.54,7.8,14.3,29.9,49.96%
9,2014,San Antonio Spurs,Marco Belinelli,2.2,0.6,0.1,2.8,0.43,3.7,0.525,5,11.4,25.2,5.9,5-Jun,210,SF,3,2007,belinma01.png,1.6,0.6,0.1,2,0.379,3.5,0.458,4.6,9.5,23,42.39%
10,2014,San Antonio Spurs,Boris Diaw,2.8,0.6,0.4,4.1,0.402,1.4,0.549,5.9,9.1,25,4.9,8-Jun,250,PF,33,2003,diawbo01.png,3.5,0.6,0.5,4.5,0.342,1.3,0.529,6.1,8.9,27.7,49.61%
11,2013,Miami Heat,LeBron James,7.3,1.7,0.9,8,0.406,3.3,0.602,14.5,26.8,37.9,19.3,8-Jun,250,PF,6,2003,jamesle01.png,6.9,1.7,0.8,7.2,0.34,4,0.538,15.7,27.2,39,49.78%
12,2013,Miami Heat,Dwyane Wade,5.1,1.9,0.8,5,0.258,1,0.537,14.9,21.2,34.7,9.6,4-Jun,220,SG,3,2003,wadedw01.png,5.8,1.7,0.9,4.8,0.284,1.6,0.508,16,23.7,35.7,48.76%
13,2013,Miami Heat,Chris Bosh,1.7,0.9,1.4,6.8,0.284,1,0.557,11.3,16.6,33.2,9,11-Jun,235,C,1,2003,boshch01.png,2,0.8,1,8.5,0.335,1,0.506,13.1,19.2,35.8,49.39%
14,2013,Miami Heat,Mario Chalmers,3.5,1.5,0.2,2.2,0.409,3.9,0.456,3,8.6,26.9,5.2,2-Jun,190,PG,15,2008,chalmma01.png,3.8,1.5,0.2,2.5,0.358,3.4,0.477,3.9,9,27.3,42.16%
15,2013,Miami Heat,Ray Allen,1.7,0.8,0.2,2.7,0.419,4.2,0.48,4,10.9,25.8,5.4,5-Jun,205,SG,34,1996,allenra02.jpg,3.4,1.1,0.2,4.1,0.4,5.7,0.485,8.9,18.9,35.6,45.18%
16,2012,Miami Heat,LeBron James,6.2,1.9,0.8,7.9,0.362,2.4,0.556,16.5,27.1,37.5,14.5,8-Jun,250,SF,6,2003,jamesle01.png,6.9,1.7,0.8,7.2,0.34,4,0.538,15.7,27.2,39,49.78%
17,2012,Miami Heat,Chris Bosh,1.8,0.9,0.8,7.9,0.286,0.6,0.496,13.5,18,35.2,6.9,11-Jun,235,PF,1,2003,boshch01.png,2,0.8,1,8.5,0.335,1,0.506,13.1,19.2,35.8,49.39%
18,2012,Miami Heat,Dwyane Wade,4.6,1.7,1.3,4.8,0.268,1.1,0.513,15.9,22.1,33.2,7.7,4-Jun,220,SG,3,2003,wadedw01.png,5.8,1.7,0.9,4.8,0.284,1.6,0.508,16,23.7,35.7,48.76%
19,2012,Miami Heat,Mario Chalmers,3.5,1.5,0.2,2.7,0.388,4.1,0.513,3.7,9.8,28.5,4.3,2-Jun,190,PG,15,2008,chalmma01.png,3.8,1.5,0.2,2.5,0.358,3.4,0.477,3.9,9,27.3,42.16%
20,2012,Miami Heat,Udonis Haslem,0.7,0.5,0.4,7.3,None,0,0.423,5.6,6,24.8,3.5,8-Jun,235,PF,40,,hasleud01.png,0.9,0.5,0.3,7,0.094,0,0.494,6.5,7.9,26.1,49.40%
21,2011,Dallas Mavericks,Dirk Nowitzki,2.6,0.5,0.6,7,0.393,2.3,0.538,13.8,23,34.3,11.1,Jul-00,245,PF,41,1998,nowitdi01.jpg,2.5,0.8,0.9,7.9,0.381,3.3,0.498,13,22,35.3,47.43%
22,2011,Dallas Mavericks,Jason Kidd,8.2,1.7,0.4,4.4,0.34,4.9,0.4,2.6,7.9,33.2,6.4,4-Jun,205,PG,2,1994,kiddja01.jpg,8.7,1.9,0.3,6.3,0.349,4.1,0.429,7.1,12.6,36,39.97%
23,2011,Dallas Mavericks,Jason Terry,4.1,1.1,0.2,1.9,0.362,4.3,0.493,9,15.8,31.3,5.3,2-Jun,185,SG,31,1999,terryja01.jpg,4.1,1.2,0.2,2.4,0.379,4.5,0.484,7.4,14.3,31,44.43%
24,2011,Dallas Mavericks,Caron Butler,1.6,1,0.3,4.1,0.431,2.2,0.454,10.8,15,29.9,1.2,7-Jun,228,SF,4,2002,butleca01.png,2.3,1.3,0.2,5,0.348,2.4,0.456,9.6,14.1,32.2,43.44%
25,2011,Dallas Mavericks,Shawn Marion,1.4,0.9,0.6,6.9,0.152,0.4,0.536,10,12.5,28.2,5.6,7-Jun,220,SF,0,1999,mariosh01.jpg,1.9,1.5,1.1,8.7,0.331,2.1,0.513,10.9,15.2,34.5,48.36%
26,2010,Los Angeles Lakers,Kobe Bryant,5,1.5,0.3,5.4,0.329,4.1,0.487,17.4,27,38.8,9.4,6-Jun,212,SG,24,1996,bryanko01.jpg,4.7,1.4,0.5,5.2,0.329,4.1,0.479,15.3,25,36.1,44.73%
27,2010,Los Angeles Lakers,Pau Gasol,3.4,0.6,1.7,11.3,0,0.1,0.539,12.9,18.3,37,11,Jul-00,250,C,16,2001,gasolpa01.jpg,3.3,0.5,1.7,9.5,0.297,0.2,0.514,13.4,18.2,35.3,51.08%
28,2010,Los Angeles Lakers,Metta World Peace,3,1.4,0.3,4.3,0.355,3.8,0.453,5.8,11,33.8,5.3,6-Jun,260,SF,37,1999,artesro01.jpg,2.7,1.8,0.5,4.6,0.34,3.5,0.447,8.1,13.5,32.4,41.47%
29,2010,Los Angeles Lakers,Lamar Odom,3.3,0.9,0.7,9.8,0.319,2.2,0.51,6.8,10.8,31.5,7.7,10-Jun,220,PF,7,1999,odomla01.jpg,3.7,0.9,0.9,8.4,0.312,2.2,0.502,8.6,13.3,33.4,46.33%
30,2010,Los Angeles Lakers,Andrew Bynum,1,0.5,1.4,8.3,0,0,0.571,10.6,15,30.4,7.8,Jul-00,285,C,17,2005,bynuman01.png,1.2,0.3,1.6,7.7,0.111,0,0.557,8.2,11.5,25.6,55.70%
31,2009,Los Angeles Lakers,Pau Gasol,3.5,0.6,1,9.6,0.5,0,0.567,12.9,18.9,37,13.9,Jul-00,250,C,16,2001,gasolpa01.jpg,3.3,0.5,1.7,9.5,0.297,0.2,0.514,13.4,18.2,35.3,51.08%
32,2009,Los Angeles Lakers,Kobe Bryant,4.9,1.5,0.5,5.2,0.351,4.1,0.496,16.8,26.8,36.1,12.7,6-Jun,212,SG,24,1996,bryanko01.jpg,4.7,1.4,0.5,5.2,0.329,4.1,0.479,15.3,25,36.1,44.73%
33,2009,Los Angeles Lakers,Derek Fisher,3.2,1.2,0.1,2.3,0.397,3.7,0.446,4.7,9.9,29.8,6.3,1-Jun,200,PG,2,1996,fishede01.jpg,3,1.1,0.1,2.1,0.374,2.6,0.413,4.7,8.3,25.4,39.91%
34,2009,Los Angeles Lakers,Lamar Odom,2.6,1,1.3,8.2,0.32,1.3,0.522,7.7,11.3,29.7,6.9,10-Jun,220,PF,7,1999,odomla01.jpg,3.7,0.9,0.9,8.4,0.312,2.2,0.502,8.6,13.3,33.4,46.33%
35,2009,Los Angeles Lakers,Andrew Bynum,1.4,0.4,1.8,8,None,0,0.56,10,14.3,28.9,5.5,Jul-00,285,C,17,2005,bynuman01.png,1.2,0.3,1.6,7.7,0.111,0,0.557,8.2,11.5,25.6,55.70%
36,2008,Boston Celtics,Ray Allen,3.1,0.9,0.2,3.7,0.398,6.2,0.485,7.3,17.4,35.9,9.7,5-Jun,205,SG,20,1996,allenra02.jpg,3.4,1.1,0.2,4.1,0.4,5.7,0.485,8.9,18.9,35.6,45.18%
37,2008,Boston Celtics,Paul Pierce,4.5,1.3,0.5,5.1,0.392,4.6,0.499,9.2,19.6,35.9,12.4,7-Jun,235,SF,34,1998,piercpa01.jpg,3.6,1.3,0.6,5.7,0.369,4.4,0.478,10.3,20,34.6,44.54%
38,2008,Boston Celtics,Kevin Garnett,3.4,1.4,1.3,9.2,0,0.2,0.545,13.8,18.8,32.8,12.9,11-Jun,240,PF,5,1995,garneke01.jpg,3.7,1.3,1.4,10,0.275,0.4,0.504,14,17.8,34.5,49.76%
39,2008,Boston Celtics,Rajon Rondo,5.1,1.7,0.2,4.2,0.263,0.2,0.499,9,10.6,29.9,7.2,1-Jun,186,PG,9,2006,rondora01.png,8.7,1.8,0.1,4.8,0.289,1,0.488,8.8,11,32.9,46.77%
40,2008,Boston Celtics,James Posey,1.5,1,0.3,4.4,0.38,3.8,0.496,1.8,7.4,24.6,6.2,8-Jun,215,PF,41,1999,poseyja01.jpg,1.6,1.1,0.3,4.7,0.349,3.4,0.467,3.6,8.6,26.9,40.97%
41,2007,San Antonio Spurs,Tim Duncan,3.4,0.8,2.4,10.6,0.111,0.1,0.55,14,20,34.1,13,11-Jun,250,C,21,1997,duncati01.jpg,3,0.7,2.2,10.8,0.179,0.1,0.509,14.5,19,34,50.67%
42,2007,San Antonio Spurs,Tony Parker,5.5,1.1,0.1,3.2,0.395,0.5,0.525,13.7,18.6,32.5,9.6,2-Jun,185,PG,9,2001,parketo01.jpg,5.9,0.9,0.1,2.9,0.327,1.3,0.513,12,16.6,32.1,49.48%
43,2007,San Antonio Spurs,Bruce Bowen,1.4,0.8,0.3,2.7,0.384,2.8,0.426,2.9,6.2,30,4.1,7-Jun,185,SF,12,,bowenbr01.jpg,1.2,0.8,0.4,2.8,0.393,2.4,0.421,3.1,6.1,27.6,40.88%
44,2007,San Antonio Spurs,Manu Ginobili,3.5,1.5,0.4,4.4,0.396,4.3,0.505,7.1,16.5,27.5,10.6,6-Jun,205,SG,20,1999,ginobma01.png,4,1.4,0.3,3.7,0.369,3.9,0.501,6.2,14,26.3,45.00%
45,2007,San Antonio Spurs,James White,0.8,0.5,0.2,3.3,0.286,1.2,0.471,5.7,8.3,22.8,0.3,7-Jun,200,SG,33,2006,whiteja02.png,0.5,0.3,0.1,1,0.34,0.7,0.482,1.7,2.7,8.7,44.06%
46,2006,Miami Heat,Dwyane Wade,6.7,1.9,0.8,5.7,0.171,1,0.513,17.8,27.2,38.6,14.4,4-Jun,220,SG,3,2003,wadedw01.png,5.8,1.7,0.9,4.8,0.284,1.6,0.508,16,23.7,35.7,48.76%
47,2006,Miami Heat,Jason Williams,4.9,0.9,0.1,2.4,0.372,4.9,0.506,5.4,12.3,31.8,4.8,1-Jun,190,PG,55,1998,willija02.jpg,5.9,1.2,0.1,2.3,0.327,4.8,0.467,5,10.5,29.4,39.84%
48,2006,Miami Heat,Udonis Haslem,1.2,0.6,0.2,7.8,0,0,0.509,7.3,9.3,30.8,7,8-Jun,235,PF,40,,hasleud01.png,0.9,0.5,0.3,7,0.094,0,0.494,6.5,7.9,26.1,49.40%
49,2006,Miami Heat,Shaquille O'Neal,1.9,0.4,1.8,9.2,None,0,0.6,13.6,20,30.6,6.2,1-Jul,325,C,32,1992,onealsh01.jpg,2.5,0.6,2.3,10.9,0.045,0,0.583,16.1,23.7,34.7,58.30%
50,2006,Miami Heat,James Posey,1.3,0.8,0.3,4.8,0.403,4.3,0.4,1.6,7.2,28.6,4.2,8-Jun,215,SF,42,1999,poseyja01.jpg,1.6,1.1,0.3,4.7,0.349,3.4,0.467,3.6,8.6,26.9,40.97%
51,2005,San Antonio Spurs,Tony Parker,6.1,1.2,0.1,3.7,0.276,2,0.516,12,16.6,34.2,8.1,2-Jun,185,PG,9,2001,parketo01.jpg,5.9,0.9,0.1,2.9,0.327,1.3,0.513,12,16.6,32.1,49.48%
52,2005,San Antonio Spurs,Tim Duncan,2.7,0.7,2.6,11.1,0.333,0.1,0.498,15.7,20.3,33.4,11.2,11-Jun,250,PF,21,1997,duncati01.jpg,3,0.7,2.2,10.8,0.179,0.1,0.509,14.5,19,34,50.67%
53,2005,San Antonio Spurs,Bruce Bowen,1.5,0.7,0.5,3.5,0.403,3.1,0.432,4.2,8.2,32,6.1,7-Jun,185,SF,12,,bowenbr01.jpg,1.2,0.8,0.4,2.8,0.393,2.4,0.421,3.1,6.1,27.6,40.88%
54,2005,San Antonio Spurs,Manu Ginobili,3.9,1.6,0.4,4.4,0.376,3.5,0.517,7.1,16,29.6,11,6-Jun,205,SG,20,1999,ginobma01.png,4,1.4,0.3,3.7,0.369,3.9,0.501,6.2,14,26.3,45.00%
55,2005,San Antonio Spurs,Rasho Nesterovic,1,0.4,1.7,6.6,None,0,0.46,6.1,5.9,25.5,4.2,Jul-00,248,C,8,1998,nestera01.jpg,1,0.4,1.2,5.1,0.077,0,0.503,6.3,6.8,22.2,50.30%
56,2004,Detroit Pistons,Ben Wallace,1.7,1.8,3,12.4,0.125,0.1,0.424,9.1,9.5,37.7,10.2,9-Jun,240,C,3,,wallabe01.jpg,1.3,1.3,2,9.6,0.137,0,0.477,4.9,5.7,29.5,47.70%
57,2004,Detroit Pistons,Richard Hamilton,4,1.3,0.2,3.6,0.265,0.9,0.466,14.1,17.6,35.5,8.1,6-Jun,185,SG,32,1999,hamilri01.jpg,3.4,0.8,0.1,3.1,0.346,1.7,0.463,12.8,17.1,32.1,44.93%
58,2004,Detroit Pistons,Chauncey Billups,5.7,1.1,0.1,3.5,0.388,4.3,0.396,8.5,16.9,35.4,11.3,3-Jun,202,PG,1,1997,billuch01.jpg,5.4,1,0.2,2.9,0.387,4.5,0.435,6.4,15.2,31.6,41.52%
59,2004,Detroit Pistons,Tayshaun Prince,2.3,0.8,0.8,4.8,0.363,1.9,0.496,6.9,10.3,32.9,7.5,9-Jun,212,SF,22,2002,princta01.png,2.4,0.6,0.5,4.3,0.367,1.5,0.47,8.4,11.1,31,45.44%
60,2004,Detroit Pistons,Rasheed Wallace,1.8,1.1,2,7,0.319,3.1,0.467,9.6,13.7,30.6,2.4,10-Jun,225,PF,30,1995,wallara01.jpg,1.8,1,1.3,6.7,0.336,2.9,0.508,9.3,14.4,32.7,46.71%
61,2003,San Antonio Spurs,Tim Duncan,3.9,0.7,2.9,12.9,0.273,0.3,0.517,16.9,23.3,39.3,16.5,11-Jun,250,PF,21,1997,duncati01.jpg,3,0.7,2.2,10.8,0.179,0.1,0.509,14.5,19,34,50.67%
62,2003,San Antonio Spurs,Tony Parker,5.3,0.9,0,2.6,0.337,3,0.503,9.8,15.5,33.8,7.7,2-Jun,185,PG,9,2001,parketo01.jpg,5.9,0.9,0.1,2.9,0.327,1.3,0.513,12,16.6,32.1,49.48%
63,2003,San Antonio Spurs,Bruce Bowen,1.4,0.8,0.5,2.9,0.441,2.8,0.488,3,7.1,31.3,5.1,7-Jun,185,SF,12,,bowenbr01.jpg,1.2,0.8,0.4,2.8,0.393,2.4,0.421,3.1,6.1,27.6,40.88%
64,2003,San Antonio Spurs,Stephen Jackson,2.3,1.6,0.4,3.6,0.32,3.7,0.501,6.5,11.8,28.2,4.8,8-Jun,218,SG,3,1997,jacksst02.png,3.1,1.3,0.4,3.9,0.333,4.4,0.456,8.6,15.1,31.9,41.44%
65,2003,San Antonio Spurs,`,1,0.8,1.7,7.9,None,0,0.469,6.6,8.5,26.2,6,1-Jul,235,C,50,1987,robinda01.jpg,2.5,1.4,3,10.6,0.25,0.1,0.52,14.3,21.1,34.7,51.81%
66,2002,Los Angeles Lakers,Kobe Bryant,5.5,1.5,0.4,5.5,0.25,1.7,0.489,18.3,25.2,38.3,12.7,6-Jun,212,SG,8,1996,bryanko01.jpg,4.7,1.4,0.5,5.2,0.329,4.1,0.479,15.3,25,36.1,44.73%
67,2002,Los Angeles Lakers,Shaquille O'Neal,3,0.6,2,10.7,0,0,0.58,18.3,27.2,36.1,13.2,1-Jul,325,C,34,1992,onealsh01.jpg,2.5,0.6,2.3,10.9,0.045,0,0.583,16.1,23.7,34.7,58.30%
68,2002,Los Angeles Lakers,Derek Fisher,2.6,0.9,0.1,2.1,0.413,5,0.41,4.5,11.2,28.2,5.5,1-Jun,200,PG,2,1996,fishede01.jpg,3,1.1,0.1,2.1,0.374,2.6,0.413,4.7,8.3,25.4,39.91%
69,2002,Los Angeles Lakers,Rick Fox,3.5,0.8,0.3,4.7,0.313,2.5,0.479,4.8,7.9,27.9,4.3,7-Jun,230,SF,17,1991,foxri01.jpg,2.8,1,0.4,3.8,0.349,2.4,0.492,5.7,9.6,25.5,44.96%
70,2002,Los Angeles Lakers,Robert Horry,2.9,1,1.1,5.9,0.374,2.5,0.416,3.2,6.8,26.4,6.9,9-Jun,220,PF,5,1992,horryro01.jpg,2.1,1,0.9,4.8,0.341,2.1,0.469,3.9,7,24.5,42.42%
