Year,P1,P1Team,P2,P2Team,P3,P3Team,P4,P4Team,P5,P5Team,P6,P6Team,P7,P7Team
2014,Andrew Wiggins,Cleveland,Jabari Parker,Milwaukee,Joel Embiid#,Philadelphia,Aaron Gordon,Orlando,Dante Exum,Utah,Marcus Smart,Boston,Julius Randle,Los Angeles 
2013,Anthony Bennett,Cleveland,Victor Oladipo,Orlando,Otto Porter,Washington,Cody Zeller,Charlotte,Alex Len,Phoenix,Nerlens Noel,New Orleans,Ben McLemore,Sacramento 
2012,Anthony Davis,New Orleans,Michael Kidd-Gilchrist,Charlotte,Bradley Beal,Washington,Dion Waiters,Cleveland,Thomas Robinson,Sacramento,Damian Lillard,Portland Trail,Harrison Barnes,Golden State 
2011,Kyrie Irving,Cleveland,Derrick Williams,Minnesota,Enes Kanter,Utah,Tristan Thompson,Cleveland,Jonas Valanciunas,Toronto,Jan Vesely,Washington,Bismack Biyombo,Sacramento 
2010,John Wall,Washington,Evan Turner,Philadelphia,Derrick Favors,New Jersey,Wesley Johnson,Minnesota,DeMarcus Cousins,Sacramento,Ekpe Udoh,Golden State,Greg Monroe,Detroit 
2009,Blake Griffin,L.A. Clippers,Hasheem Thabeet,Memphis,James Harden,Oklahoma City,Tyreke Evans,Sacramento,Ricky Rubio,Minnesota,Jonny Flynn,Minnesota,Stephen Curry,Golden State 
2008,Derrick Rose,Chicago,Michael Beasley,Miami,O.J. Mayo,Minnesota,Russell Westbrook,Seattle,Kevin Love,Memphis,Danilo Gallinari,New York,Eric Gordon,L.A. Clippers 
2007,Greg Oden,Portland,Kevin Durant,Seattle,Al Horford,Atlanta,Michael Conley,Memphis,Jeff Green,Boston,Yi Jianlian,Milwaukee,Corey Brewer,Minnesota 
2006,Andrea Bargnani,Toronto,LaMarcus Aldridge,Chicago,Adam Morrison,Charlotte,Tyrus Thomas,Portland,Sheldon Williams,Atlanta,Brandon Roy,Minnesota,Randy Foye,Boston 
2005,Andrew Bogut,Milwaukee,Marvin Williams,Atlanta,Deron Williams,Utah,Chris Paul,New Orleans,Raymond Felton,Charlotte,Martell Webster,Portland,Charlie Villanueva,Toronto 
2004,Dwight Howard,Orlando,Emeka Okafor,Charlotte,Ben Gordon,Chicago,Shaun Livingston,L.A. Clippers,Devin Harris,Washington,Josh Childress,Atlanta,Luol Deng,Phoenix 
2003,LeBron James,Cleveland,Darko Milicic,Detroit,Carmello Anthony,Denver,Chris Bosh,Toronto,Dwyane Wade,Miami,Chris Kaman,L.A. Clippers,Kirk Hinrich,Chicago 
2002,Yao Ming,Houston,Jay Williams,Chicago,Mike Dunleavy,Golden State,Drew Gooden,Memphis,Nikoloz Tskitishvili,Denver,Dajuan Wagner,Cleveland,Nene Hilario,New York 
2001,Kwame Brown,Washington,Tyson Chandler,L.A. Clippers,Pau Gasol,Atlanta,Eddy Curry,Chicago,Jason Richardson,Golden State,Shane Battier,Grizzlies,Eddie Griffin,New Jersey 
2000,Kenyon Martin,New Jersey,Stromile Swift,Vancouver,Darius Miles,L.A. Clippers,Marcus Fizer,Chicago,Mike Miller,Orlando,DerMarr Johnson,Atlanta,Chris Mihm,Chicago 
1999,Elton Brand,Chicago,Steve Francis,Vancouver,Baron Davis,Charlotte,Lamar Odom,L.A. Clippers,Jonathan Bender,Toronto,Wally Szczerbiak,Minnesota,Richard Hamilton,Washington 
1998,Michael Olowokandi,L.A. Clippers,Mike Bibby,Vancouver,Raef LaFrentz,Denver,Antawn Jamison,Toronto,Vince Carter,Golden St.,Robert Traylor,Dallas,Jason Williams,Sacramento 
1997,Tim Duncan,San Antonio,Keith Van Horn,Philadelphia,Chauncey Billups,Boston,Antonio Daniels,Vancouver,Tony Battie,Denver,Ron Mercer,Boston,Tim Thomas,New Jersey 
1996,Allen Iverson,Philadelphia,Marcus Camby,Toronto,Shareef Abdur-Rahim,Vancouver,Stephon Marbury,Milwaukee,Ray Allen,Minnesota,Antoine Walker,Boston,Lorenzen Wright,L.A. Clippers 
1995,Joe Smith,Golden State,Antonio McDyess,L.A. Clippers,Jerry Stackhouse,Philadelphia,Rasheed Wallace,Washington,Kevin Garnett,Minnesota,Bryant Reeves,Vancouver,Damon Stoudamire,Toronto 
1994,Glenn Robinson,Milwaukee,Jason Kidd,Dallas,Grant Hill,Detroit,Donyell Marshall,Minnesota,Juwan Howard,Washington,Sharone Wright,Philadelphia,Lamond Murray,L.A. Clippers 
1993,Chris Webber,Orlando,Shawn Bradley,Philadelphia,Anfernee Hardaway,Golden State,Jamal Mashburn,Dallas,Isaiah (J.R.) Rider,Minnesota,Calbert Cheaney,Washington,Bobby Hurley,Sacramento 
1992,Shaquille O'Neal,Orlando,Alonzo Mourning,Charlotte,Christian Laettner,Minnesota,Jimmy Jackson,Dallas,LaPhonso Ellis,Denver,Tom Gugliotta,Washington,Walt Williams,Sacramento 
1991,Larry Johnson,Charlotte,Kenny Anderson,New Jersey,Billy Owens,Sacramento,Dikembe Mutombo,Denver,Steve Smith,Miami,Doug Smith,Dallas,Luc Longley,Minnesota 
1990,Derrick Coleman,New Jersey,Gary Payton,Seattle,Chris Jackson,Denver,Dennis Scott,Orlando,Kendall Gill,Charlotte,Felton Spencer,Minnesota,Lionel Simmons,Sacramento 
1989,Pervis Ellison,Sacramento,Danny Ferry,L.A. Clippers,Sean Elliott,San Antonio,Glen Rice,Miami,J.R. Reid,Charlotte,Stacey King,Chicago,George McCloud,Indiana 
1988,Danny Manning,L.A. Clippers,Rik Smits,Indiana,Charles Smith,Philadelphia,Chris Morris,New Jersey,Mitch Richmond,Golden State,Hersey Hawkins,L.A. Clippers,Tim Perry,Phoenix 
1987,David Robinson,San Antonio,Armon Gilliam,Phoenix,Dennis Hopson,New Jersey,Reggie Williams,L.A. Clippers,Scottie Pippen,Seattle,Kenny Smith,Sacramento,Kevin Johnson,Cleveland 
1986,Brad Daugherty,Cleveland,Len Bias,Boston,Chris Washburn,Golden State,Chuck Person,Indiana,Kenny Walker,New York,William Bedford,Phoenix,Roy Tarpley,Dallas 
1985,Patrick Ewing,New York,Wayman Tisdale,Indiana,Benoit Benjamin,L.A. Clippers,Xavier McDaniel,Seattle,Jon Koncak,Atlanta,Joe Kleine,Sacramento,Chris Mullin,Golden State 
