Year_Drafted,Player,Year1,Team1,wins1,Year2,Team2,wins2,Year3,Team3,wins3,Year4,Team4,wins4,Year5,Team5,wins5,Year6,Team6,wins6,Year7,Team7,wins7,Year8,Team8,wins8,Year9,Team9,wins9,Year10,Team10,wins10,Year11,Team11,wins11,Year12,Team12,wins12,Year13,Team13,wins13,Year14,Team14,wins14,Year15,Team15,wins15,Year16,Team16,wins16,Year17,Team17,wins17,Year18,Team18,wins18,Year19,Team19,wins19,Year20,Team20,wins20,Year21,Team21,wins21
2014,Andrew Wiggins,2014,MIN,16,2015,MIN,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Jabari Parker,2014,MIL,41,2015,MIL,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Joel Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Aaron Gordon,2014,ORL,25,2015,ORL,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Dante Exum,2014,UTA,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Marcus Smart,2014,BOS,40,2015,BOS,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Julius Randle,2014,LAL,21,2015,LAL,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Anthony Bennett,2013,CLE,33,2014,MIN,16,2015,TOR,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Victor Oladipo,2013,ORL,23,2014,ORL,25,2015,ORL,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Otto Porter,2013,WAS,44,2014,WAS,46,2015,WAS,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Cody Zeller,2013,CHA,43,2014,CHO,33,2015,CHO,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Alex Len,2013,PHO,48,2014,PHO,39,2015,PHO,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Nerlens Noel,2014,PHI,18,2015,PHI,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Ben McLemore,2013,SAC,28,2014,SAC,29,2015,SAC,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Anthony Davis,2012,NOH,27,2013,NOP,34,2014,NOP,45,2015,NOP,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Michael Kidd-Gilchrist,2012,CHA,21,2013,CHA,43,2014,CHO,33,2015,CHO,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Bradley Beal,2012,WAS,29,2013,WAS,44,2014,WAS,46,2015,WAS,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dion Waiters,2012,CLE,24,2013,CLE,33,2014,OKC,45,2015,OKC,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Thomas Robinson,2012,HOU,45,2013,POR,54,2014,PHI,18,2015,BRK,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Damian Lillard,2012,POR,33,2013,POR,54,2014,POR,51,2015,POR,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Harrison Barnes,2012,GSW,47,2013,GSW,51,2014,GSW,67,2015,GSW,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Kyrie Irving,2011,CLE,21,2012,CLE,24,2013,CLE,33,2014,CLE,53,2015,CLE,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Derrick Williams,2011,MIN,26,2012,MIN,31,2013,SAC,28,2014,SAC,29,2015,NYK,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Enes Kanter,2011,UTA,36,2012,UTA,43,2013,UTA,25,2014,OKC,45,2015,OKC,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Tristan Thompson,2011,CLE,21,2012,CLE,24,2013,CLE,33,2014,CLE,53,2015,CLE,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Jonas Valanciunas,2012,TOR,34,2013,TOR,48,2014,TOR,49,2015,TOR,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Jan Vesely,2011,WAS,20,2012,WAS,29,2013,DEN,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
