Year,Team,TPA,TPP,O2PA,2P%,O3PA,O3P%,O2PA,O2P%,pctoffg0-3,pctoffg3-10,pctoffg10-16,pctoffg16<3,pctoffg3,fgpct0-3,fgpct3-10,fgpct10-16,fgpct16<3,fgpct3,avgage
2015,Golden State Warriors,2217,0.398,4920,0.514,1757,0.337,5327,0.458,0.286,0.145,0.104,0.154,0.311,0.675,0.371,0.443,0.397,0.398,26.6
2014,San Antonio Spurs,1757,0.397,5087,0.517,1500,0.353,5476,0.469,0.287,0.185,0.09,0.181,0.257,0.673,0.437,0.389,0.413,0.397,28.9
2013,Miami Heat,1809,0.396,4539,0.536,1783,0.35,4850,0.473,0.297,0.127,0.099,0.192,0.285,0.704,0.401,0.387,0.441,0.396,30.3
2012,Miami Heat,1030,0.359,4182,0.496,1318,0.363,3949,0.457,0.309,0.157,0.119,0.218,0.198,0.65,0.397,0.442,0.381,0.359,28.3
2011,Dallas Mavericks,1768,0.365,4695,0.516,1480,0.343,5176,0.481,0.24,0.162,0.125,0.199,0.274,0.684,0.407,0.423,0.461,0.365,30.9
2010,Los Angeles Lakers,1562,0.341,5313,0.492,1585,0.328,5255,0.481,0.311,0.15,0.121,0.191,0.227,0.597,0.436,0.426,0.406,0.341,28.4
2009,Los Angeles Lakers,1516,0.361,5465,0.505,1700,0.345,5125,0.481,0.32,0.148,0.119,0.196,0.217,0.616,0.44,0.443,0.41,0.361,27.4
2008,Boston Celtics,1564,0.381,4722,0.506,1535,0.316,4806,0.452,0.32,0.118,0.102,0.211,0.249,0.615,0.405,0.405,0.447,0.381,27.9
2007,San Antonio Spurs,1561,0.381,4767,0.504,1101,0.334,5362,0.465,0.288,0.155,0.107,0.204,0.247,0.653,0.444,0.406,0.392,0.381,30.4
2006,Miami Heat,1441,0.345,4914,0.517,1359,0.361,5170,0.461,0.34,0.162,0.094,0.177,0.227,0.669,0.406,0.36,0.411,0.345,29.2
2005,San Antonio Spurs,1395,0.363,5055,0.478,881,0.367,5478,0.436,0.293,0.201,0.118,0.173,0.216,0.637,0.399,0.378,0.369,0.363,28.5
2004,Detroit Pistons,968,0.344,5346,0.452,1180,0.302,5198,0.438,0.34,0.153,0.175,0.179,0.153,0.566,0.356,0.393,0.374,0.344,27.4
2003,San Antonio Spurs,1270,0.354,5027,0.489,1043,0.339,5660,0.443,0.313,0.189,0.133,0.163,0.202,0.634,0.423,0.388,0.371,0.354,28.4
2002,Los Angeles Lakers,1439,0.354,5401,0.489,1259,0.317,5518,0.448,0.28,0.167,0.137,0.206,0.21,0.657,0.414,0.403,0.379,0.354,27.9
2001,Los Angeles Lakers,1275,0.344,5410,0.494,1168,0.354,5647,0.455,0.285,0.186,0.137,0.201,0.191,0.671,0.382,0.402,0.407,0.344,29.2
2000,Los Angeles Lakers,1047,0.329,5789,0.482,1142,0.326,5682,0.434,,,,,,,,,,,29.2
1999,San Antonio Spurs,521,0.33,3291,0.476,559,0.304,3502,0.417,,,,,,,,,,,30.1
1998,Chicago Bulls,962,0.323,5839,0.471,1022,0.322,5461,0.452,,,,,,,,,,,31.7
1997,Chicago Bulls,1403,0.373,5520,0.499,1408,0.335,5245,0.463,,,,,,,,,,,30.7
1996,Chicago Bulls,1349,0.403,5543,0.496,1249,0.35,5179,0.472,,,,,,,,,,,29.9
1995,Houston Rockets,1757,0.368,4822,0.521,1345,0.376,5716,0.472,,,,,,,,,,,28.5
1994,Houston Rockets,1285,0.334,5448,0.508,841,0.306,6325,0.458,,,,,,,,,,,28.1
1993,Chicago Bulls,669,0.365,6536,0.494,685,0.361,5937,0.487,,,,,,,,,,,28.1
1992,Chicago Bulls,454,0.304,6714,0.522,657,0.332,6313,0.473,,,,,,,,,,,27.6
1991,Chicago Bulls,424,0.366,6701,0.519,626,0.304,6258,0.492,,,,,,,,,,,26.9
1990,Detroit Pistons,541,0.327,6439,0.49,558,0.333,6251,0.457,,,,,,,,,,,29.5
1989,Detroit Pistons,400,0.3,6479,0.505,554,0.285,6468,0.461,,,,,,,,,,,28.6
1988,Los Angeles Lakers,478,0.297,6600,0.52,439,0.298,7028,0.487,,,,,,,,,,,28.9
1987,Los Angeles Lakers,447,0.367,6798,0.526,431,0.283,7100,0.479,,,,,,,,,,,27.8
1986,Boston Celtics,393,0.351,6919,0.517,304,0.27,7172,0.469,,,,,,,,,,,29.3
1985,Los Angeles Lakers,295,0.305,6959,0.555,297,0.283,7342,0.488,,,,,,,,,,,27.4
1984,Boston Celtics,229,0.24,7006,0.508,219,0.324,7153,0.474,,,,,,,,,,,28
1983,Philadelphia 76ers,109,0.229,7103,0.503,249,0.217,7221,0.469,,,,,,,,,,,26.7
1982,Los Angeles Lakers,94,0.138,7491,0.521,213,0.366,7466,0.491,,,,,,,,,,,26.8
1981,Boston Celtics,241,0.27,6858,0.513,139,0.216,7157,0.467,,,,,,,,,,,27
1980,Los Angeles Lakers,100,0.2,7268,0.534,274,0.285,7647,0.477,,,,,,,,,,,26.2
